Company;Address_source_chatGPT
TerraCom Resources;Level 3, 133 Mary Street, Brisbane, QLD 4000, Australia
Bono Lithihi Investments Group;Le Cap, South Africa
Arch Resources;One City Place Drive, Suite 300, St. Louis, MO 63141, USA
BHP;171 Collins Street, Melbourne, Victoria 3000, Australia
Mitsubishi Corporation;2-3-1 Marunouchi, Chiyoda-ku, Tokyo, Japan
Samruk-Energo;55/8, Kabanbay Batyr Avenue, Nur-Sultan, Kazakhstan
United Company RUSAL;44 Beregovaya Street, Krasnoyarsk, Russia
Resource Generation Australia;Level 2, 267 St Georges Terrace, Perth, Western Australia 6000
Shanxi Huayang Group New Energy Company;Beijing, China
Shanxi Chuangrei New Energy Investment Company;Beijing, China
Kazakhmys Corporation;104a, Abay Ave., Zhezkazgan, Kazakhstan
Gazprom;16 Nametkina Street, Moscow, Russia
Inner Mongolia Mengtai Group;Beijing, China
Petrobras;Avenida República do Chile, 65 - Centro, Rio de Janeiro - RJ, Brazil
Petróleo Brasileiro S.A.;Avenida República do Chile, 65 - Centro, Rio de Janeiro - RJ, Brazil
QCoal;Level 8, 175 Eagle Street, Brisbane, QLD 4000, Australia
JFE Steel;1-1, Uchisaiwaicho 2-chome, Chiyoda-ku, Tokyo, Japan
Adani Group;Adani House, Near Mithakhali Circle, Navrangpura, Ahmedabad, Gujarat, India
Glencore;50 Berkeley Street, London W1J 8HD, United Kingdom
Jizhong Energy Group;Hebei, China
China Huarong Asset Management Company;8 Financial Street, Xicheng District, Beijing, China
China Energy Investment Corporation;8 Fuxingmenwai Street, Xicheng District, Beijing, China
Shandong Energy;No. 66, Lishan Road, Jinan, Shandong, China
State Grid Company;No. 86, West Chang'an Street, Xicheng District, Beijing, China
China Huadian Group;6 Fuxingmenwai Street, Xicheng District, Beijing, China
Jindal Group;Jindal Centre, 12, Bhikaiji Cama Place, New Delhi, India
Canadian Natural Resources Limited;2100, 855 - 2 Street SW, Calgary, AB, Canada T2P 4J8
Africa Energy Corp.;1900, 885 West Georgia Street, Vancouver, BC, Canada V6C 3E8
Contura Energy;340 Martin Luther King Jr Blvd, Bristol, TN 37620, USA
Shaanxi Coal and Chemical Industry Group;No. 1, Yanta Road, Yanta District, Xi'an, Shaanxi, China
Binxian Coal Company;Beijing, China
Shaanxi Investment Group;No. 1, Yanta Road, Yanta District, Xi'an, Shaanxi, China
Jilin Province Coal Industry Group;Beijing, China
Tibet Hengyisheng Investment Company;Beijing, China
Fude Life Insurance Company;Beijing, China
China Reform Holdings Company;Beijing, China
China Chengtong Holdings Group;1 Fuxingmenwai Street, Xicheng District, Beijing, China
Huaihe Energy;Beijing, China
China Cinda Asset Management;1 Financial Street, Xicheng District, Beijing, China
Mubadala Investment Company;Al Mamoura A Building, Mohammed Bin Zayed City, Abu Dhabi, UAE
Occidental Petroleum Corporation;5 Greenway Plaza, Suite 110, Houston, TX 77046, USA
Harbour Energy plc;60-61 Threadneedle Street, London EC2R 8HP, United Kingdom
Kuwait Petroleum Corporation;P.O. Box 26565, Safat, Kuwait City, Kuwait
Petroliam Nasional Berhad;Tower 1, PETRONAS Twin Towers, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Malaysia
PTT PLC;555 Vibhavadi Rangsit Road, Chatuchak, Bangkok, Thailand
PT Pertamina;Jl. Medan Merdeka Timur No. 1A, Jakarta, Indonesia
Drummond Company;PO Box 10246, Birmingham, AL 35202, USA
National Oil Corporation;
Repsol SA;Calle Méndez Álvaro, 44, 28045 Madrid, Spain
OMV Aktiengesellschaft;Trabrennstraße 6-8, 1020 Vienna, Austria
Tuva Energy Industrial Company;Moscow, Russia
A-Property;Moscow, Russia
Thungela Resources Australia;Canberra, Australia
LX International;Seoul, South Korea
Russian Coal;Moscow, Russia
LG International;20 Yoido-dong, Youngdungpo-gu, Seoul, South Korea
Titan Infra Energy;Sona Topas Tower, Level 25, Jl. Jend. Sudirman Kav. 26, Jakarta, Indonesia
Asian American Continental Coal Company;Beijing, China
Beijing Energy;Beijing, China
Ordos Energy Investment and Development Company;Beijing, China
Shougang Group;1 Wenxing Street, Qian'an, Hebei, China
China Huaneng;6 Fuxingmenwai Street, Xicheng District, Beijing, China
Guangdong Hengjian Investment Holding Company;Beijing, China
Gujarat State Electricity Corporation;Vidyut Bhavan, Race Course, Vadodara, Gujarat, India
RWE Power;Opernplatz 1, 45128 Essen, Germany
CKD Mines;Ottawa, Canada
MC Mining;The Place, 1 Sandton Drive, Sandown, Sandton, South Africa
Rothe Investments;Le Cap, South Africa
ExxonMobil Corporation;5959 Las Colinas Blvd, Irving, TX 75039, USA
Hess Corporation;1185 Avenue of the Americas, New York, NY 10036, USA
CNOOC International;Floor 10, CNOOC Building, 20 Chaoyangmenwai Dajie, Chaoyang District, Beijing, China
Exxaro;The ConneXXion, 263B, West Avenue, Die Hoewes, Centurion, South Africa
Shaanxi Yulin Energy Group;Beijing, China
Shaanxi Coal and Chemical Group;No. 1, Yanta Road, Yanta District, Xi'an, Shaanxi, China
Fugu State-Owned Asset Management and Operation Company;Beijing, China
Alliance Resource Partners;1717 S Boulder Ave, Tulsa, OK 74119, USA
Shaanxi Youser Group;Beijing, China
Shaanxi Yanchang Petroleum Group;No. 1, Yanta Road, Yanta District, Xi'an, Shaanxi, China
Sonatrach SPA;Djenane El Malik, Hydra, Algiers, Algeria
Shenmu County State-Owned Assets Operation Company;Beijing, China
Inner Mongolia Yitai Investment;Beijing, China
Inner Mongolia Guanglian Minzu Economic Development Company;Beijing, China
Inner Mongolia Coal Field Geological Bureau;Beijing, China
Shanxi Zhongbo Real Estate Development Company;Beijing, China
Beijing Energy Group;Beijing, China
Yima Coal Industry Group;Beijing, China
Beijing Lirui Investment Company;Beijing, China
Kailuan Group;Hebei, China
Inner Mongolia Shengli Resource Group;Beijing, China
Erdos Chunhui Forest Company;Beijing, China
Junggar Juli Cultivation Company;Beijing, China
Jiangsu Yueda Group;Beijing, China
Elion Group;Beijing, China
Sinopec;22 Chaoyangmen North Street, Chaoyang District, Beijing, China
Shenergy;No. 2, Lane 728, Zhangyang Road, Pudong New Area, Shanghai, China
Manshi Group;Beijing, China
Yankuang Energy;No. 298, Fushan South Road, Zoucheng, Shandong, China
Valiant Resources;Canberra, Australia
Kolmar;Moscow, Russia
Indexim Coalindo;Jakarta, Indonesia
Shenmu Taide Energy Investment Company;Beijing, China
Inner Mongolia Kaiyuan Shiye Group;Beijing, China
Shendong Tianlong Group;Beijing, China
Erdos Jiuyuan Investment Company;Beijing, China
Tebian Electric Apparatus;Beijing, China
Xinjiang Joinworld Company;Beijing, China
State Grid Corporation of China;No. 86, West Chang'an Street, Xicheng District, Beijing, China
Jiaxing Dejian Investment Partnership;Beijing, China
Lundin Energy AB;Hovslagargatan 5, SE-111 48, Stockholm, Sweden
Petoro AS;Forusbeen 50, 4035 Stavanger, Norway
Aker;Oksenoyveien 10, Lysaker, Norway
BP;1 St. James's Square, London, SW1Y 4PD, United Kingdom
Bumi Resources;Bakrie Tower, 3rd Floor, Rasuna Epicentrum, Jl. H.R. Rasuna Said, Jakarta, Indonesia
Shell plc;Shell Centre, London, SE1 7NA, United Kingdom
Chevron Corporation;6001 Bollinger Canyon Rd, San Ramon, CA 94583, USA
PJSC LUKOIL;11 Sretensky Boulevard, Moscow, 101000, Russia
National Bank of the Republic of Kazakhstan;"21 ""K"" Kunayev str., 050051, Almaty, Kazakhstan"
JSC Samruk-Kazyna;8, Mangilik El avenue, Nur-Sultan, Kazakhstan
Cooperative KazMunayGaz;19 Kabanbay Batyr Ave., Nur-Sultan, Kazakhstan
Saudi Aramco;Dhahran, Eastern Province, Saudi Arabia
Elektroprivreda Srbije;13-15, 11000 Belgrade, Serbia
Anhui Xinji Coal and Electricity Group;Beijing, China
China COSCO Shipping;No. 358, Dong Da Ming Road, Hongkou District, Shanghai, China
Delek Group;18 Giborei Israel St., Netanya, Israel
Ratio Petroleum;18 Giborei Israel St., Netanya, Israel
CNOOC Limited;Floor 10, CNOOC Building, 20 Chaoyangmenwai Dajie, Chaoyang District, Beijing, China
Siberian Business Union-Coal;Moscow, Russia
Huayang New Material Technology Group;Beijing, China
Yangcheng County Yangtai Group;Beijing, China
Shanxi Yujin Trading Company;Beijing, China
Shanxi Juhuang Century Investment Company;Beijing, China
China Datang;No. 9, Fuxingmenwai Street, Xicheng District, Beijing, China
Luen Mei Group;Beijing, China
Abu Dhabi National Oil Company;Al Mamoura A Building, Mohammed Bin Zayed City, Abu Dhabi, UAE
Oil and Natural Gas Corporation;Plot No. 5A- 5B, Nelson Mandela Road, Vasant Kunj, New Delhi, India
INPEX Corporation;Akasaka Biz Tower, 5-3-1 Akasaka, Minato-ku, Tokyo, Japan
AGL Energy;200 George St, Sydney NSW 2000, Australia
Pré-Sal Petróleo S.A.;Rua Lauro Müller, 116, Sala 2301, Rio de Janeiro, Brazil
Foresight Energy;One Metropolitan Square, Suite 2600, St. Louis, MO 63102, USA
Jinneng Holding Group;No. 1 Jinneng Road, Jinzhong, Shanxi, China
National Thermal Power Corporation;SCOPE Complex, Institutional Area, Lodhi Road, New Delhi, India
Bulgarian Energy Holding;16 Veslets St., 1000 Sofia, Bulgaria
Ningxia State-Owned Capital Operation Group;Beijing, China
Reliance Power;3rd Floor, Maker Chambers IV, 222, Nariman Point, Mumbai, India
Integrated Energy Services Corporation;Washingthon, USA
Inner Mongolia Boyuan Holdings Group;Beijing, China
HD Mining International;Ottawa, Canada
Seriti;Building 8, 90 Rivonia Rd, Sandton, Johannesburg, South Africa
Industrial Development Corporation;19 Fredman Dr, Sandown, Sandton, Johannesburg, South Africa
Community Trusts;Le Cap, South Africa
Yulin State-Owned Capital Operation and Management Company;Beijing, China
Shenmu City State-Owned Assets Operation Company;Beijing, China
Peabody Energy;701 Market St, St. Louis, MO 63101, USA
Pembroke Resources;Level 28, 32 Turbot Street, Brisbane QLD 4000, Australia
PDVSA;Av. Libertador, Edif. Petróleos de Venezuela, La Campiña, Caracas, Venezuela
Repsol Exploración S.A.;Calle Méndez Álvaro, 44, 28045 Madrid, Spain
Oil and Natural Gas Corporation of India;Plot No. 5A- 5B, Nelson Mandela Road, Vasant Kunj, New Delhi, India
PC Venezuela LTD;Caracas, Venezuela
Indian Oil Corporation Limited;IndianOil Bhavan, G-9, Ali Yavar Jung Marg, Bandra (East), Mumbai, India
Indonesia Asahan Aluminium;Jl. MH Thamrin No. 2-4, Jakarta, Indonesia
Bayan Resources;Menara Bidakara 2, Jl. Jend. Gatot Subroto Kav. 71-73, Jakarta, Indonesia
Shanxi Coking Coal Group;Taiyuan, Shanxi, China
China Construction Bank;No. 25, Financial Street, Xicheng District, Beijing, China
Indika Energy;Indika Energy Building, Jl. Jend. Sudirman Kav. 52-53, Jakarta, Indonesia
GCM Resources;7th Floor, 33 Cavendish Square, London, W1G 0PW, United Kingdom
Minerals Development Company Botswana;Private Bag 00422, Gaborone, Botswana
ConocoPhillips;925 N Eldridge Pkwy, Houston, TX 77079, USA
Guangdong Hanjian Holding Company;Beijing, China
Shanghai Chengrui Investment Company;Beijing, China
China Kingho Energy Group;No. 1, Qiyi Street, Urumqi, Xinjiang, China
ITOCHU Corporation;5-1, Kita-Aoyama 2-chome, Minato-ku, Tokyo, Japan
Iraqi Oil Exploration Company;Baghdad, Iraq
Qatargas Operating Company Limited;P.O. Box 22666, Doha, Qatar
Evraz;16th Floor, 29 Ludgate Hill, London, EC4M 7NX, United Kingdom
Talbot Group;Washingthon, USA
Sumitomo Metal;5-33, Kitahama 4-chome, Chuo-ku, Osaka, Japan
POSCO;6261, Donghaean-ro, Nam-gu, Pohang, Gyeongsangbuk-do, South Korea
Government of North Korea;Pyongyang, North Korea
Uttar Pradesh Rajya Vidyut;Shakti Bhawan, 14 Ashok Marg, Lucknow, Uttar Pradesh, India
ROSNEFTEGAZ JSC;Sophiyskaya Embankment, 26, Moscow, Russia
QH Oil Investments LLC;Moscow, Russia
Russian Federation Agency for State Property Management;ul. Bolshaya Tatarskaya 35, Moscow, Russia
Yildirim Holding AS;Barbaros Mah. Halk Caddesi, Yıldırım Tower, No: 17, Istanbul, Turkey
RioZim;1 Kenilworth Rd, Newlands, Harare, Zimbabwe
Shaanxi Financial Holding Group;Beijing, China
Yulin City Yuyang District Energy Investment Company;Beijing, China
Yulin State-Owned Asset Operation and Management Company;Beijing, China
Shenmu County State-Owned Asset Management Company;Beijing, China
Guangdong Jinma Tourism Group;Beijing, China
Jinneng Group;No. 1 Jinneng Road, Jinzhong, Shanxi, China
Lu'an Chemical Group;Beijing, China
Tianjin Energy Investment Group;Tianjin, China
Sinopec Group;No. 22 Chaoyangmen North Street, Chaoyang District, Beijing, China
Guangda Holding Company;Beijing, China
Changchun Jijun Trade Company;Beijing, China
Ningxia State-Owned Assets Company;Beijing, China
Shanghai Huayi Group;Shanghai, China
Jiutai Energy;Beijing, China
Jinchengtai Limited Liability Company Of Chemical Industry of Ordos City;Beijing, China
Joint Resources JSC;Astana, Kazakhstan
FCI Management;Astana, Kazakhstan
China Cinda Asset Management Company;No. 8 Financial Street, Xicheng District, Beijing, China
PPL;Two North Ninth Street, Allentown, PA 18101, USA
PPI;
Octo Coal;Moscow, Russia
Inner Mongolia Yitai Group;No. 1 Yitai Avenue, Yitai Industry Park, Ordos, Inner Mongolia, China
Shanxi Yuedian Energy;Beijing, China
Beijing Jingneng Power Company;Beijing, China
Imperial Oil Resources Limited;505 Quarry Park Blvd SE, Calgary, AB T2C 5N1, Canada
Sinopec Oil Sands Partnership;Astana, Kazakhstan
CNOOC Oil Sands Canada;2500, 500 4 Ave SW, Calgary, AB T2P 2V6, Canada
Ural Mining Metallurgical Company;Verkhnyaya Pyshma, Sverdlovsk Oblast, Russia
Bazhou Dongchen Industry and Trade Company;Beijing, China
PAO NOVATEK;16A Tverskoy Boulevard, Moscow, Russia
Wutongshu Investment Platform Co.;Beijing, China
China Investment Co;Beijing, China
China Development Bank;No. 17 Financial Street, Xicheng District, Beijing, China
China Import-Export Bank;30-31F, China EXIM Building, 30 Fuxingmennei Street, Xicheng District, Beijing, China
Shandong First Geological and Mineral Exploration Institute;Beijing, China
Erdenes MGL;Ulaanbaatar 14240, Mongolia
Sindh Engro Coal Mining Company;16th Floor, The Harbor Front Building, Marine Drive, Block 4, Clifton, Karachi, Pakistan
Adaro Energy;Menara Karya, 23rd Floor, Jl. H.R. Rasuna Said, Block X-5, Kav. 1-2, Jakarta 12950, Indonesia
Severstal-Resource;Cherepovets, Vologda Oblast, Russia
Russkaya Energiya;Moscow, Russia
ao Holding Investment Company;Beijing, China
Hongchuang;Beijing, China
Investment Center;
Langfang Heyuan Investment Center;Beijing, China
Hebei Weiyuan Group;Beijing, China
Ningxia Wangwa Coal Industry Company;Beijing, China
Stanmore Resources;Level 7, 333 Adelaide Street, Brisbane QLD 4000, Australia
China Securities Finance Corporation;12F, Bldg. A, Fufengmenwai Street, Xicheng District, Beijing, China
Yang Quan Coal Industry Group;Yangquan, Shanxi, China
Shanxi Boda Group;Beijing, China
Shanxi Provincial Coal Industry Agency Service Center;Beijing, China
Beijing Sunshine Ruita Investment Consulting Company;Beijing, China
Public Power Corporation of Greece S.A;30, Halkokondyli Str., 104 32 Athens, Greece
Guizhou Panjiang Coal and Electricity Group;Guiyang, Guizhou, China
Guizhou Coalfield Geology Bureau;Beijing, China
Futura Resources;Canberra, Australia
Sojitz;1-20, Akasaka 6-chome, Minato-ku, Tokyo 107-8655, Japan
Beijing Guotai Xinhua Industrial Company;Beijing, China
Xinjiang Changyuan Water Group;Beijing, China
Xinjiang Xinhua Hydropower Investment Company;Beijing, China
Xinjiang Energy Group;Beijing, China
Zhejiang Xinhu Group Holding Company;Beijing, China
Zhejiang Shenglong Industrial Company;Beijing, China
Yichang Caiyuan Investment and Management Company;Beijing, China
Yichang Xinfa Industry Investment Company;Beijing, China
Hubei Yihua Chemical Company;No. 30, Qingshan Road, Yichang, Hubei, China
China Huadian;No. 2 Beilishilu, Xicheng District, Beijing, China
Shanxi Tangrong Investment Company;Beijing, China
Shanxi Dubao New Energy Group;Beijing, China
Yuling Mining Group;Beijing, China
Yulin Yuyang District Energy Investment Company;Beijing, China
Xuzhou Coal Mining Group;Xuzhou, Jiangsu, China
Shaanxi Yanchang Petroleum and Mining Company;Beijing, China
Bin County Coal Company;Beijing, China
CLP Group;8/F, Devon House, Taikoo Place, 979 King's Road, Quarry Bay, Hong Kong
Zhejiang Energy Group;No. 1, Xiaoying Road, Hangzhou, Zhejiang, China
Navajo Nation;Window Rock, AZ, United States
Petroleos Mexicanos;Av. Marina Nacional 329, Col. Petróleos Mexicanos, 11311 Mexico City, Mexico
Shenmu Coal Company;Beijing, China
Yulin Yuyang Coal Company;Beijing, China
Yanchang Oil and Minerals Administration Hengshan Oil Drilling and Production Company;Beijing, China
Shanghua Investment Company;
Steel Authority of India;Ispat Bhawan, Lodhi Road, New Delhi - 110 003, India
Rashtriya Ispat Nigam;Administrative Building, B-Block, Visakhapatnam Steel Plant, Visakhapatnam - 530031, India
NMDC;Khanij Bhavan, Masab Tank, Hyderabad - 500028, India
NTPC;NTPC Bhawan, SCOPE Complex, Institutional Area, Lodhi Road, New Delhi - 110003, India
Shenmu State-Owned Assets Operation Company;Beijing, China
Yulin City Finance Investment Management Company;Beijing, China
AGL Energy Ltd;200 George Street, Sydney, NSW, 2000, Australia
Abraxas;USA, Washington D.C.
Aethon Energy;USA, Washington D.C.
Aghorn;USA, Washington D.C.
Aker BP ASA;Norway, Oslo
Al-Haj Group of Companies;Pakistan, Islamabad
Alliance Resource Partners LP;USA, Washington D.C.
Amplify Energy Corp;500 Dallas Street, Suite 1700, Houston, Texas 77002, USA
Anadarko;USA, Washington D.C.
Anschutz Exploration Corporation;USA, Washington D.C.
Antero Resources Corp;1615 Wynkoop Street, Denver, Colorado 80202, USA
Apache Co.;2000 Post Oak Boulevard, Suite 100, Houston, Texas, USA
Arch Resources Inc;St. Louis, Missouri, USA
Armor Lonestar;USA, Washington D.C.
Arrowhead Productions;USA, Washington D.C.
Arsenal Resources;USA, Washington D.C.
Ascent Resources;Oklahoma City, Oklahoma, USA
Aspen Operating;USA, Washington D.C.
Atlantic Resources;USA, Washington D.C.
Atlas Oper Co.;USA, Washington D.C.
Atoka Operating;USA, Washington D.C.
Auterra Operating;USA, Washington D.C.
Avalon TX Operating;USA, Washington D.C.
Azerbaijan (OCC) Limited;Azerbaijan, Baku
BBX Operating;USA, Washington D.C.
BCE-Mach;USA, Washington D.C.
BHP Billiton;171 Collins Street, Melbourne, Victoria, Australia
BHP Group Ltd;171 Collins Street, Melbourne, Victoria, Australia
BKV Operations;USA, Washington D.C.
BP PLC;1 St James's Square, London, UK
BPX (KCS Resources);USA, Washington D.C.
BPX (WSF Operating);USA, Washington D.C.
BPX Operating;USA, Washington D.C.
BRG Lone Star;USA, Washington D.C.
BTA Oil Producers;USA, Washington D.C.
Balidor Oil & Gas;USA, Washington D.C.
Ballard Petroleum;USA, Washington D.C.
Ballard Petroleum Holdings;USA, Washington D.C.
Banner Operating;USA, Washington D.C.
Basa Resources Inc;USA, Washington D.C.
Bayan Resources Tbk PT;Indonesia, Jakarta
Bayswater Operating;USA, Washington D.C.
Bedrock Production;USA, Washington D.C.
Beijing Energy Holding Co Ltd;China, Beijing
Bharat Petroleum Corp Ltd;Bharat Bhavan, 4 and 6 Currimbhoy Road, Ballard Estate, Mumbai, India
Bison Oil & Gas;USA, Washington D.C.
Blackbeard Operating LLC;USA, Washington D.C.
Blackbrush;USA, Washington D.C.
Blue Dome;USA, Washington D.C.
Bluestone;USA, Washington D.C.
Boaz Energy;USA, Washington D.C.
Bold Operating;USA, Washington D.C.
Bonanza Creek Energy;410 17th Street, Suite 1400, Denver, Colorado, USA
Bosque Texas Oil;USA, Washington D.C.
Bracken Operating;USA, Washington D.C.
Brazos River Exploration;USA, Washington D.C.
Breitburn Operating;USA, Washington D.C.
Bright Rock Energy;USA, Washington D.C.
Brix Operating;USA, Washington D.C.
Brooks Petroleum;USA, Washington D.C.
Brookston Energy;USA, Washington D.C.
Brown, H.L. Operating;USA, Washington D.C.
Bruin E&P Operating;USA, Washington D.C.
Bulgarian Energy Holding EAD;Bulgaria, Sofia
Burk Royalty Co.;USA, Washington D.C.
Burlington Resources;USA, Washington D.C.
Burnett Oil Co.;USA, Washington D.C.
CBP Operating;USA, Washington D.C.
CCI;USA, Washington D.C.
CHI Operating;USA, Washington D.C.
CLP Holdings Ltd;8 Laguna Verde Avenue, Hung Hom, Kowloon, Hong Kong
CML Exploration;USA, Washington D.C.
CNPC;9 Dongzhimen North Street, Dongcheng District, Beijing, China
CNX Gas Co.;USA, Washington D.C.
COG Operating;USA, Washington D.C.
COG Production;USA, Washington D.C.
CRD Operating;USA, Washington D.C.
Cabot Oil & Gas;840 Gessner Road, Suite 1400, Houston, TX, USA
Caird Operating;USA, Washington D.C.
Callon Petroleum Co;2000 W Sam Houston Pkwy S, Houston, TX, USA
Cambrian Management;USA, Washington D.C.
Canadian Natural Resources Ltd (CNRL);2100, 855 - 2 Street S.W., Calgary, Alberta, Canada
Capex SA;Argentina, Buenos Aires
Capitan Energy;USA, Washington D.C.
Carbon Creek Energy;1662 S Sheridan Ave, Sheridan, WY 82801, USA
Carlyle Group;1001 Pennsylvania Avenue, NW Washington, D.C., USA
Carrizo;USA, Washington D.C.
Castlerock Operating;USA, Washington D.C.
Centennial Resource;USA, Washington D.C.
Champion Lone Star;USA, Washington D.C.
Charger Shale Oil Operating;USA, Washington D.C.
Chesapeake Operating;USA, Washington D.C.
Chevron Argentina SRL;Argentina, Buenos Aires
Chevron Corp;6001 Bollinger Canyon Rd, San Ramon, CA, USA
Cheyenne Petroleum Co LP;USA, Washington D.C.
Chief Oil & Gas;USA, Washington D.C.
China COSCO Shipping Corp Ltd;China, Beijing
China Coal Xinji Energy Co Ltd;China, Beijing
China Datang Corp;China, Beijing
China Energy Investment Corp Ltd;China, Beijing
China Huadian Corp Ltd;China, Beijing
China Huaneng Group Co Ltd;China, Beijing
China National Petroleum Corporation (CNPC);9 Dongzhimen North Street, Dongcheng District, Beijing, China
China ZhenHua Oil Co Ltd;China, Beijing
Chisholm Energy;USA, Washington D.C.
Cimarex Energy;1700 Lincoln Street, Suite 1800, Denver, CO, USA
Cimarex Energy Co. of Colorado;USA, Washington D.C.
Cinco Oil & Gas;USA, Washington D.C.
Cinnabar Operating;USA, Washington D.C.
Citation Oil & Gas Corp;14077 Cutten Road, Houston, TX, USA
Clear Fork;USA, Washington D.C.
Clearly Petroleum;USA, Washington D.C.
Coal India Ltd;Coal Bhawan, Premise No-04 MAR, Plot No-AF-III, Action Area-1A, Newtown, Rajarhat, Kolkata-700156, India
Continental Resources;20 N. Broadway, Oklahoma City, Oklahoma, 73102, USA
Crescent Point Energy Corp;2000, 585 - 8th Avenue SW, Calgary, Alberta, Canada
Crown Equipment Co.;44 South Washington Street, New Bremen, Ohio, 45869, USA
Delek Group Ltd;19 Abba Eban Blvd. Herzliya, 46725, Israel
Denbury Onshore;5320 Legacy Dr, Plano, Texas, 75024, USA
Devon Energy Corp;333 West Sheridan Avenue, Oklahoma City, Oklahoma, 73102, USA
Devon Energy Production Company;Unknown, likely the same as Devon Energy Corp
EOG Resources Inc;1111 Bagby, Sky Lobby 2, Houston, Texas, 77002, USA
EP Energy Corp;1001 Louisiana Street, Houston, Texas, 77002, USA
EP Energy E&P Company;1001 Louisiana Street, Houston, Texas, 77002, USA
EQT Production Co.;625 Liberty Avenue, Pittsburgh, Pennsylvania, 15222, USA
Ecopetrol S.A.;Carrera 13 No. 36 Ð 24, Bogot, Colombia
Electricity Generating PCL;53 Moo 2, Poochaosamingprai Road, Tambon Bangkudtien, Bangkok, 10150, Thailand
Elektroprivreda Srbije (EPS);Carice Milice 2, 11000 Beograd, Serbia
Elion Resources Group Ltd;Canada, Ottawa
Elk Meadows Resources;USA, Washington D.C.
Elk Petroleum Ltd;Australia, Canberra
Elk River Resources;USA, Washington D.C.
Ellora Energy;USA, Washington D.C.
Empresa Operating;USA, Washington D.C.
Enauta Energia SA;Brazil, Brasilia
Encana Oil & Gas;370 17th Street, Suite 1700, Denver, Colorado, USA
Endeavor Energy Resources LP;110 N Marienfeld St Suite 400, Midland, TX 79701, USA
Enel SpA;Viale Regina Margherita 137, 00198 Rome, Italy
Enerplus Corp;Suite 3000, 333 - 7th Avenue SW, Calgary, AB T2P 2Z1, Canada
Enervest Operating;USA, Washington D.C.
Eni;Piazzale Enrico Mattei, 1, 00144 Roma RM, Italy
Eni SpA;Piazzale Enrico Mattei, 1, 00144 Roma RM, Italy
Ensight IV Energy;USA, Washington D.C.
Ensign Operating LLC;USA, Washington D.C.
Epic Permian Operating;USA, Washington D.C.
Equinor Energy;Fornebuveien 50, 1366 Lysaker, Norway
Escondido Resources;USA, Washington D.C.
Evraz PLC;5th Floor, 6 St Andrew Square, Edinburgh EH2 2AF, United Kingdom
Exco Operating Co.;USA, Washington D.C.
Extraction Oil & Gas;370 17th Street, Suite 5300, Denver, CO 80202, USA
Exxaro Resources Ltd;Roger Dyason Road, Pretoria West, 0183, South Africa
Exxon Mobil Corp;5959 Las Colinas Blvd, Irving, TX 75039-2298, USA
FDL Operating;USA, Washington D.C.
Fasken Oil And Ranch;USA, Washington D.C.
